ts,session_id,step_id,gt_label,pred_label,roll_deg,pitch_deg
1779167355.1376,6,CALIBRACION,Centro,Lateral,-35.585,44.381
1779167355.5381,6,CALIBRACION,Centro,Lateral,-52.563,34.515
1779167355.6702,6,CALIBRACION,Centro,Lateral,-35.585,34.515
1779167355.8061,6,CALIBRACION,Centro,Lateral,-35.585,7.444
1779167355.9384,6,CALIBRACION,Centro,Lateral,-28.056,7.84
1779167356.0716,6,CALIBRACION,Centro,Lateral,-28.056,7.444
1779167356.2039,6,CALIBRACION,Centro,Lateral,-27.29,6.416
1779167356.3326,6,CALIBRACION,Centro,Lateral,-17.351,6.383
1779167356.4679,6,CALIBRACION,Centro,Lateral,-17.351,6.383
1779167356.5956,6,CALIBRACION,Centro,Lateral,-17.351,6.416
1779167356.7291,6,CALIBRACION,Centro,Lateral,-17.351,6.291
1779167356.8642,6,CALIBRACION,Centro,Lateral,-17.351,6.173
1779167357.0034,6,CALIBRACION,Centro,Lateral,-17.351,6.291
1779167357.1397,6,CALIBRACION,Centro,Lateral,-15.939,6.173
1779167357.2726,6,CALIBRACION,Centro,Lateral,-15.939,6.053
1779167357.4025,6,CALIBRACION,Centro,Centro,-13.38,5.662
1779167357.534,6,CALIBRACION,Centro,Centro,-11.518,5.405
1779167357.6688,6,CALIBRACION,Centro,Centro,-10.834,5.147
1779167357.8046,6,CALIBRACION,Centro,Centro,-10.685,5.114
1779167357.934,6,CALIBRACION,Centro,Centro,-10.144,5.078
1779167358.0736,6,CALIBRACION,Centro,Centro,-10.144,5.078
1779167358.2063,6,CALIBRACION,Centro,Centro,-10.114,5.114
1779167358.335,6,CALIBRACION,Centro,Centro,-9.911,5.114
1779167358.4721,6,CALIBRACION,Centro,Centro,-9.756,5.114
1779167358.6013,6,CALIBRACION,Centro,Centro,-9.693,5.114
1779167358.7334,6,CALIBRACION,Centro,Centro,-9.364,5.078
1779167358.8626,6,CALIBRACION,Centro,Centro,-8.309,5.056
1779167358.9969,6,CALIBRACION,Centro,Centro,-8.226,5.073
1779167359.1252,6,CALIBRACION,Centro,Centro,-7.746,5.056
1779167359.2597,6,CALIBRACION,Centro,Centro,-7.701,4.902
1779167359.3957,6,CALIBRACION,Centro,Centro,-7.499,4.846
1779167359.5285,6,CALIBRACION,Centro,Centro,-7.489,4.846
1779167359.6709,6,CALIBRACION,Centro,Centro,-7.489,4.846
1779167359.8042,6,CALIBRACION,Centro,Centro,-6.623,4.633
1779167359.9318,6,CALIBRACION,Centro,Centro,-6.623,4.633
1779167360.0569,6,CALIBRACION,Centro,Centro,-6.623,4.633
1779167360.1872,6,CALIBRACION,Centro,Centro,-6.623,4.634
1779167360.3222,6,CALIBRACION,Centro,Centro,-6.17,4.905
1779167360.4567,6,CALIBRACION,Centro,Centro,-5.702,4.915
1779167360.5832,6,CALIBRACION,Centro,Centro,-5.647,4.932
1779167360.7199,6,CALIBRACION,Centro,Centro,-5.647,4.997
1779167360.85,6,CALIBRACION,Centro,Centro,-3.573,4.932
1779167360.9852,6,CALIBRACION,Centro,Centro,-2.317,4.932
1779167361.1158,6,CALIBRACION,Centro,Centro,-2.19,4.905
1779167361.25,6,CALIBRACION,Centro,Centro,-2.19,4.902
1779167361.3812,6,CALIBRACION,Centro,Centro,-2.183,4.843
1779167361.5142,6,CALIBRACION,Centro,Centro,-2.183,4.679
1779167361.6447,6,CALIBRACION,Centro,Centro,-2.19,4.606
1779167361.7762,6,CALIBRACION,Centro,Centro,-3.556,4.594
1779167361.899,6,CALIBRACION,Centro,Centro,-4.754,4.368
1779167362.0379,6,CALIBRACION,Centro,Centro,-7.132,4.352
1779167362.1659,6,CALIBRACION,Centro,Centro,-9.094,4.13
1779167362.299,6,CALIBRACION,Centro,Centro,-10.585,3.536
1779167362.4306,6,CALIBRACION,Centro,Centro,-10.585,3.536
1779167363.4319,6,CALIBRACION,Centro,Centro,-10.585,2.195
1779167363.5573,6,CALIBRACION,Centro,Centro,-10.585,2.113
1779167366.036,6,CALIBRACION,Centro,Centro,-14.389,2.113
1779167366.1598,6,CALIBRACION,Centro,Lateral,-15.931,2.113
1779167366.2975,6,CALIBRACION,Centro,Lateral,-15.931,10.042
1779167366.425,6,CALIBRACION,Centro,Lateral,-54.159,31.302
1779167366.56,6,CALIBRACION,Centro,Lateral,-56.422,32.894
1779167366.6887,6,CALIBRACION,Centro,Lateral,-56.422,32.894
1779167366.8108,6,CALIBRACION,Centro,Lateral,-56.422,32.894
1779167366.9874,6,CALIBRACION,Centro,Lateral,-55.938,31.302
1779167367.1399,6,CALIBRACION,Centro,Lateral,-56.422,31.04
1779167367.2691,6,CALIBRACION,Centro,Lateral,-56.422,28.049
1779167367.3919,6,CALIBRACION,Centro,Lateral,-56.924,27.82
1779167367.5261,6,CALIBRACION,Centro,Lateral,-56.924,27.539
1779167367.6554,6,CALIBRACION,Centro,Lateral,-57.025,27.416
1779167367.7874,6,CALIBRACION,Centro,Lateral,-57.318,27.416
1779167367.911,6,CALIBRACION,Centro,Lateral,-57.715,27.416
1779167368.0368,6,CALIBRACION,Centro,Lateral,-57.823,27.539
1779167368.1653,6,CALIBRACION,Centro,Lateral,-60.178,27.756
1779167368.2988,6,CALIBRACION,Centro,Lateral,-61.528,28.164
1779167368.4283,6,CALIBRACION,Centro,Lateral,-62.225,28.712
1779167368.5534,6,CALIBRACION,Centro,Lateral,-62.393,28.833
1779167368.6655,6,CALIBRACION,Centro,Lateral,-63.034,29.126
1779167368.8035,6,CALIBRACION,Centro,Lateral,-72.466,31.829
1779167368.9317,6,CALIBRACION,Centro,Lateral,-75.953,31.868
1779167369.065,6,CALIBRACION,Centro,Lateral,-75.953,32.103
1779167369.2299,6,CALIBRACION,Centro,Lateral,-75.953,32.377
1779167369.3851,6,CALIBRACION,Centro,Lateral,-75.953,32.699
1779167369.5853,6,INCLINACION_ADELANTE,Forward,Forward,-75.492,33.662
1779167369.9749,6,INCLINACION_ADELANTE,Forward,Forward,-75.314,33.662
1779167376.7919,6,INCLINACION_ADELANTE,Forward,Forward,-75.003,34.962
1779167377.048,6,INCLINACION_ADELANTE,Forward,Forward,-74.767,35.397
1779167377.1735,6,INCLINACION_ADELANTE,Forward,Centro,9.239,35.879
1779167378.8011,6,INCLINACION_ADELANTE,Forward,Centro,9.239,55.955
1779167378.9299,6,INCLINACION_ADELANTE,Forward,Centro,9.239,55.955
